game_title,platform,critic_name,review_text,critic_score,global_metascore
locoroco 2,psp,Pelit (Finland),LocoRoco 2 is basicly the same game than LocoRoco 1. That is by no means a negative fact as gameplay is exceptionally clever and fun and makes you fall in love with guiding the cute little LocoRocos to the goal. A platform game with a bit of puzzle and action in between has rarely been this much fun and never as heartwarming as now. [Jan 2009],85,85
locoroco 2,psp,Destructoid,"LocoRoco 2 is a great title at a great price point. Its misgivings -- short playtime, lack of narrative substance and meaningless collectibles -- are easily trumped by the game’s character and solid gameplay.",85,85
locoroco 2,psp,Gamers' Temple,"Even if you don't normally go for cute games, LocoRoco 2 is worth checking out - even if you can only play it when no one else is watching.",85,85
locoroco 2,psp,Cheat Code Central,"The carefully crafted animations always transmit the right feel at the right time, whether you're bouncing over a spongy surface, gliding through windy areas, or sliding on ice. Everything in this game is charming; it has a cheery vibe you won't be able to find elsewhere.",84,85
locoroco 2,psp,Game Revolution,"For all the Blues Clues color palette, the flowers blowing in the breeze past dancing cacti, and a soundtrack that seems to recorded by the Alvin and the Chipmunks singing J-pop for a kindergarten show and tell on happy brownie recipes, it has the artistic polish that Sony is known for and a redesign that is nearly flawless for a sequel to a successful title.",83,85
locoroco 2,psp,Play UK,"LocoRoco 2 is as amusing as the original, but the differences between the two are marginal at best. Luckily, the swell controls and endearing visuals will enchant the audience of the first all over again.",82,85
locoroco 2,psp,Jolt Online Gaming UK,"It’s silly, elegant, strange, delightful, sometimes annoying, always cute, mostly easy (unless unlockables matter to you) a bit random, often clever and ultimately not that essential. It’s perhaps too whimsical for most people, and if you need meaningful story and immediate reward, it almost certainly isn’t for you. With the right mindset, though, it’s a real treat and something special for PSP owners to call their own.",82,85
locoroco 2,psp,3DJuegos,"LocoRoco 2 is a fresh and original experience for players and for the PSP line too. It has lost the surprise factor of the first game and the new features are not enough because offer a similar feeling. But LocoRoco means innovation, is an alternative expression and this generation needs it.",82,85
locoroco 2,psp,GameZone,"A great sequel to one of the PSP's best franchises, LocoRoco 2 is definitely a game fans of the original will want in their collection.",82,85
locoroco 2,psp,GameTrailers,"Despite new levels, moves, and critters, LocoRoco 2 is very much the same as the first. But when the same is this clever, it's hard to complain.",81,85
locoroco 2,psp,Eurogamer,"Ostensibly the same again, then, LocoRoco 2 nevertheless pulls its charm tight and burrows deeper into the mechanics, level layouts and set-pieces, presenting more elaborate rewards in visuals and gameplay, and doing a better job of sharing them with you so that you don't always feel as though you're searching for cuddly needles in a Teletubbies haystack. It comes across as a refined, more elaborately constructed sequel that remembers why it was good in the first place.",80,85
locoroco 2,psp,Meristation,"Even with some new touches and a increased difficulty, there are little changes in this sequel, which is probably the big problem here. The game keeps being as charming and enjoyable as the first one, so it´s perfect for those who love LocoRoco, but it lacks the sense of surprise and discovering of the first one.",80,85
locoroco 2,psp,Gamer.nl,"Locoroco 2 might be a little less unique than its predeccesor, but its concept is still going strong. The overal atmosphere and gameplay elements will most likely turn a smile on your face. And for a more than decent price the game is almost mandatory for every PSP-owner.",80,85
locoroco 2,psp,PTGamers,"LocoRoco 2 may play it safe, choosing not to mess with a successful formula, but it adds a few nice twists here and there.",80,85
locoroco 2,psp,Kikizo,"Whether you're watching them hurtle along in the embrace of a rainbow wind, or guiding them through the intestines of a giant penguin, the squishy, smiling LocoRoco are as charming as they've ever been.",80,85
locoroco 2,psp,Level7.nu,"The second installment in the Loco Roco franchise offers us much of what we were offered in the first installment, with some minor yet appealing additions. The graphical style is just as cute as it was the last time around and the music is absolutely charming. Minor additions, such as a rhythm based minigame, really does a lot for the experience. The levels are more varied than in the first game and there are tons of things to do and find. It might not be a revolution, but it's an incredibly entertaining platforming experience.",80,85
locoroco 2,psp,Thunderbolt,"Cute, charming, and an utterly magical joy to play from start to finish, LocoRoco 2 is your new best friend.",80,85
locoroco 2,psp,Boomtown,"The sheer ingenuity of each stage keeps you going, but the scope of collectibles keeps you going back.",80,85
locoroco 2,psp,LEVEL (Czech Republic),Concept of its predecessor multiplied in all ways and published. And it works perfectly in every part of this two-dozen-level fun. [Issue#173],80,85
locoroco 2,psp,AceGamez,"Despite the lack of evolution, I had a great time with LocoRoco 2. It's an improvement upon the original by most measures; bigger, better and more bad-ass, you might say, sacrilegious as it seems to apply Cliff Bleszinski's sales pitch to this sugary treat, but where Gears of War 2 delivered on its outlandish promises, LocoRoco 2 proves decidedly lacking.",80,85
locoroco 2,psp,Eurogamer Portugal,Although there is not as much innovation as we hoped for LocoRocco 2 is followed by truly fun details and rises once again to the throne as best platform game to the portable Sony console. Don’t let yourselves be fueled by the aspect of this title. Anyone will surrender to the charms of LocoRocco 2.,80,85
locoroco 2,psp,games(TM),"A handheld game that pitches the balance between pick-up-and-play fun and engaging gameplay exactly. The clever level design and artistic merit are an added bonus. [Jan 2009, p.129]",80,85
locoroco 2,psp,GamePro,"Still, with its quirky presentation and interesting gameplay, LocoRoco 2 makes some fantastic improvements over its short-but-sweet precursor that should attract fans of the series and newcomers alike. [Mar 2009, p.80]",80,85
locoroco 2,psp,Playstation Official Magazine UK,"It's enough to make it feel new and shiny again, and well worth buying. [Jan 2009, p.100]",80,85
gallop racer 2006,playstation-2,GamingTrend,"This is not a title to sit down and play five minutes worth before you run out for errands. But if you devote some time to learning about horses and the racing itself, Gallop Racer 2006 is surprisingly rewarding.",88,69
gallop racer 2006,playstation-2,IGN,"For fans of horses, racing, stats, or high functioning autistics this title stocks plenty to do. Tack on decent graphics and challenging (but not impossible) learning curve and you've got one satisfying niche title and a surprisingly great and wicked way to get your pony fix.",85,69
gallop racer 2006,playstation-2,Digital Entertainment News,"The new design segments game play dramatically, but the core excitement of horse racing is brought across more than ever in Gallop Racer 2006.",84,69
gallop racer 2006,playstation-2,GameZone,"Despite that small problem, Gallop Racer 2006 is a small improvement from the last installment. With even more addicting betting, stat managing and racing, Gallop Racer 2006 improved for the better.",83,69
gallop racer 2006,playstation-2,TotalPlayStation,"At the end of the day, though, you're still going to have to have a real interest in the sport.",80,69
gallop racer 2006,playstation-2,GameShark,"Still, it's as good as it gets in terms of an arcade horse racing game, and it's impossible to deny its addictive qualities. It's just a shame that Tecmo took the series into this more solitary direction.",75,69
gallop racer 2006,playstation-2,Worth Playing,"As engrossing and deep as Gallop Racer 2006 is, it's still a horse-racing simulation, after all. This severely limits the appeal of the game, as most people are probably more interested in managing a football franchise or a baseball team than a horse farm.",75,69
gallop racer 2006,playstation-2,Play Magazine,"For long time horse racing fans, Gallop Racer 2006 brings some great improvements in both the racing and breeding aspects above previous versions. [July 2006, p.72]",70,69
gallop racer 2006,playstation-2,Official U.S. Playstation Magazine,"GR06 may be tough, but its thoroughness should be appreciated. [July 2006, p.78]",70,69
gallop racer 2006,playstation-2,Game Informer,"If you already like the series, not enough has changed to stop you from enjoying it. And that's exactly the reason why new players may as well just stay away. [July 2006, p.106]",68,69
gallop racer 2006,playstation-2,Game Chronicles,"To each their own of course, but this game's developers probably could have put a bit more effort into Gallop Racer 2006 in order to make it more accessible for people who are curious, or just think the idea of a racing game with horses is cool. As someone who feels just like that, I can respect what Gallop Racer 2006 is about, but I'm a little disappointed too.",65,69
gallop racer 2006,playstation-2,G4 TV,"Like many complex sim games, Gallop Racer can be as frustrating as it is rewarding.",60,69
gallop racer 2006,playstation-2,GameSpot,"Gallop Racer 2006 is pretty proficient; it's just not a very inviting experience. Fans who have already acclimated themselves to the generally noninclusive tone of the franchise shouldn't have too much trouble digging through the clumsy interface and often clinical appearance, but it's probably not worth the trouble to anyone else.",58,69
gallop racer 2006,playstation-2,GameSpy,"If you're the kind of gamer that likes to set two CPU-controlled combatants battle against each other in ""Street Fighter II"" and bet on the outcome with your friends, then this may be your type of game.",50,69
gallop racer 2006,playstation-2,GamesRadar+,Gallop Racer 2006 would be more fun if its presentation weren't so overwhelmingly confusing and its races so surprisingly difficult: it's a nasty combo.,40,69
rise of nations,pc,Play Magazine,"Possibly the best AI ever found in an RTS. [Aug 2003, p.77]",100,89
rise of nations,pc,Yahoo!,"The maturation of a genre. More ""Civilization"" in scope, feel, and satisfaction than even the popular ""Age of Empires"" series, Rise of Nations is the world's first 4X RTS.",100,89
rise of nations,pc,G4 TV,"Hidden beneath that glossy surface is a game that takes almost everything that's annoying with real-time strategy titles and fixes it. It's deep, yet accessible. It's action-packed, yet manageable. In short, it's everything you could ask for in a real-time strategy game.",100,89
rise of nations,pc,Gamers' Temple,"A well-designed, well-executed paragon of strategy gaming, although mouse-click maniacs may be disappointed that the game requires more thought than the typical RTS.",95,89
rise of nations,pc,GameZone,"Rise of Nations revitalizes this genre because it blends the mechanics of real time and turn based strategy games into one. As weird as this may sound, the game does this flawlessly and expounds the gameplay a hundred fold.",95,89
rise of nations,pc,Gamezilla!,A worthy product with far more assets than shortcomings and a campaign game that will keep you playing.,94,89
rise of nations,pc,PC Gamer,"A stunning achievement in RTS design. [Aug 2003, p.74]",93,89
rise of nations,pc,GameSpot,"In many ways, Rise of Nations is better than the strategy games that have come before it. It's smarter. It's more challenging. It gives you more to do.",93,89
rise of nations,pc,netjak,"Graphically, this game is amazing.",93,89
rise of nations,pc,PC Format,"While other games may offer more to immediately get excited about, its charms will last long after their 3D glories wane, and for fast-paced but thoughtful strategy action, you simply cannot do any better.",93,89
rise of nations,pc,Game Over Online,No current strategy title can give you the clash between horseback cavalry and industrial age tanks and howitzers as compelling as what Rise of Nations brings to the table.,92,89
rise of nations,pc,Entertainment Weekly,"Yes, Nations emphasizes military might over diplomacy, but it's still one of the most intelligent and riveting strategy games we've played in a long time. [18 July 2003, p.83]",91,89
rise of nations,pc,Adrenaline Vault,A towering aggregation of everything that's good about strategy gaming.,90,89
rise of nations,pc,Armchair Empire,"The second, more significant disappoint that RON inflicts upon the gamer is the mind numbing singularity of the conquest battles. As much as I love toasting the opposition into roasted marshmallow oblivion, doing so 22 times in a row gets a little old.",90,89
rise of nations,pc,Game Informer,"As solid as bedrock. [July 2003, p.119]",90,89
rise of nations,pc,ActionTrip,"Merging the best of the historical strategies of Civilization and Empire Earth with the dynamics and appeal of the Age of Empires and C&C, giving this RTS the level of detail reserved for turn-based strategies and simulations. And the best thing is - this really works!",90,89
rise of nations,pc,TotalGames.net,"Animation of the beautifully rendered characters and unit models particularly livens up the screen, and the attention to detail is often quite remarkable.",90,89
rise of nations,pc,Eurogamer,One of the most impressive strategy games we've seen in years.,90,89
rise of nations,pc,PC Arena,"Aside from the lackluster sounds, Rise Of Nations has Gameplay that rocks and beats out any recent RTS offerings and at a pace that you can be done in 90 minutes or less - all of which makes this an ideal game for almost any gamer.",90,89
rise of nations,pc,GameSpy,An enormous game... Classic real-time gaming simply doesn't get much better than this.,90,89
rise of nations,pc,AtomicGamer,"Rise of Nations is a great fusion of several recent and classic strategy titles. It combines Empire Earth with Age of Empires, puts in a dash of Civilization and Risk, and then mixes it all together with a ton of options for you to play around with.",90,89
rise of nations,pc,FiringSquad,"There is a lot to be said for the city-centric game design, the intricate unit balancing, the smart AI, and the catchy, quickie action, although there isn’t anything here to make the jaded sit up and shout.",88,89
rise of nations,pc,Gamer's Pulse,Has a huge amount of game play options and is one of the most intriguing RTS games I have played since Civilization. The only concern I had was with the amount of horsepower required by your computer to play in a bigger game.,88,89
rise of nations,pc,Game Revolution,Where Rise of Nations really sets itself apart from the pack is with two innovations: territorial control and a big Risk-like macro game.,83,89
rise of nations,pc,IGN,"A game that borrows extensively but cautiously from the TBS genre, doing what it does extremely well but offering next to nothing which is new.",82,89
rise of nations,pc,GamePro,"Rise of Nations’ biggest weakness—lack of variety—becomes obvious. Every nation is the same, except for some bonus modifiers; there really aren’t that many units; and in the end, you wind up wielding them as a jumbled horde.",80,89
rise of nations,pc,GMR Magazine,"Playing Rise of Nations won't make your jaw drop in amazement, but you'll probably still have lots of fun as long as you like RTS games. [Aug 2003, p.74]",80,89
rise of nations,pc,Maxim Online,What truly sticks out about this real-time strategy game is that it never lets its engrossing depth create a dull moment.,80,89
rise of nations,pc,Computer Gaming World,"Like its brethren, it is good - but without being amazing or breathtakingly original. [Aug 2003, p.72]",80,89
rise of nations,pc,Computer Games Magazine,"This is as unconventional as a conventional real-time strategy game can probably get, at onece like everything and nothing you've ever played. [July 2003, p.66]",80,89
bayonetta 2,wii-u,Edge Magazine,"Sega's loss is Nintendo's gain: Bayonetta, twirling away from a gigantic demon's maw and smacking the highest choir of angels on the nose, has just given Wii U its first true classic. [Nov 2014, p.100]",100,91
bayonetta 2,wii-u,GameSpot,"It is a masterclass in pure, unadulterated action-game design, where its insane eye-popping visuals meld effortlessly with some of the sharpest, most joyful combat to have ever graced a video game.",100,91
bayonetta 2,wii-u,Joystiq,"Bayonetta 2 is the perfect action game. It oozes style and boasts gameplay that's both refined and lacking in excess. The combat is so purely entertaining that it's easy to lose yourself in the almost-zen flow of dodging, countering and kicking enemies to death.",100,91
bayonetta 2,wii-u,FNintendo,"Quite possibly the best action game ever made, Bayonetta 2 is a pure gem of wonder, filled with epic fights, perfect gameplay, a magnificent visual and sound environment and even a multiplayer mode which fits perfectly within the format. A diabolical masterpiece that no Wii U should go without.",100,91
bayonetta 2,wii-u,Destructoid,"It not only plays great, but there's so much style involved in just about every animation. Dashing turns you into a panther, double-jumping allows you to sprout butterfly wings, hovering turns you into a crow. Everything from the snapshot ""photo finish"" effect of completing a challenge room is painstakingly detailed.",100,91
bayonetta 2,wii-u,Gameblog.fr,"With Bayonetta 2, Wii U has its trump card: a queen of spades that takes advantages on almost every game of the genre and hits us right in the heart. It's an outstanding production, beautifully executed, with state of the art mechanics and ridiculously generous. And it can be enjoyed by everyone as its difficulty and handling can be adjusted. Definitely a beat them all no one has the right to ignore.",100,91
bayonetta 2,wii-u,God is a Geek,"Intense, gorgeous and thrilling to play, this is Platinum’s best game so far...A non-stop climax of excitement from the moment you start the Prologue, this is one of those games that demands to be played.",100,91
bayonetta 2,wii-u,Eurogamer Germany,"Buy it if you liked the first one. Buy it, if you love it over the top all the way. Buy it if you love video games. Buy a Wii U if you have to. Bayonetta 2 sings all its praises in a celebration to this hobby of ours. But don't make the mistake of not playing it.",100,91
bayonetta 2,wii-u,Gamereactor Denmark,"Bayonetta 2 is a triumphant return for the series and for Platinum Games. Extreme bosses, a crazy good style and an addictive co-op mode are just the icing on top of an excellent fighting system. Go get it now for your Wii U.",100,91
bayonetta 2,wii-u,Giant Bomb,"Bayonetta 2 doesn’t drastically change the already wacky formula that the first game introduced, but it’s a bigger and more nuanced version of its predecessor. It’s also the best game of its kind in years. If you’ve ever enjoyed this breed of reflex-heavy, hyperactive, ludicrous action game, Bayonetta 2 is a no-brainer.",100,91
bayonetta 2,wii-u,Guardian,"The sheer polish applied to every part of Bayonetta 2 is something every major studio should aspire to: the exceptional and wide-ranging soundtrack, the huge number of unlocks, the Nintendo easter eggs, the “making of” materials, and the unlockable characters that bring their own style. Not a single thing has been held back. In this second adventure, Bayonetta over-delivers in every regard, and it will be a long time before another fighting game threatens her crown.",100,91
bayonetta 2,wii-u,Vandal,"Platinum Games manages to improve everything we knew and loved from the first game, creating a master piece everybody should play.",100,91
bayonetta 2,wii-u,Meristation,"Bayonetta 2 is the best action game ever made. Masterclass in terms of combat system, depth and accessibility, with frantic and intense progress. Unforgettable challenging boss battles, full of content to unlock and a lovely main character.",100,91
bayonetta 2,wii-u,Eurogamer Spain,"It's the obsession for detail that makes Bayonetta 2 so special. It might not be a unique game, but clearly one that's not common.",100,91
bayonetta 2,wii-u,Nintendojo,"Bayonetta 2 doesn’t do anything particularly new, but it does serve as an improvement of an already excellent action title, perfecting the formula even further.",100,91
bayonetta 2,wii-u,Cubed3,"Bayonetta 2 is a Game of the Year contender, which comes extremely recommended.",100,91
bayonetta 2,wii-u,Digitally Downloaded,"Bayonetta 2 will challenge some people. It will make the uncomfortable. It's transgressive in numerous ways, and with that comes the potential to offend. But in causing offence, Bayonetta 2 encourages conversation, and that's the very definition of a good work of art.",100,91
bayonetta 2,wii-u,DarkStation,"Bayonetta 2 is a relentlessly entertaining ride from start to finish, with pacing meticulously designed to wring every last drop of adrenaline out of you before reigning things in with a quiet, humorous aside.",100,91
bayonetta 2,wii-u,Impulsegamer,"Bayonetta 2 is perfect on all levels that supports a flawless gaming engine, exceptional graphics and kick-ass female protagonist.",100,91
bayonetta 2,wii-u,Hyper Magazine,"Yes, even with sh.tty story and questionable gender politics. [Issue#255, p.64]",100,91
bayonetta 2,wii-u,Universo Nintendo,"A more focused, more vibrant game that surpasses its predecessor and establishes itself as the best game on the Wii U and as the newest masterpiece of the genre.",100,91
bayonetta 2,wii-u,GameTrailers,"From its peerless combat to its outlandishly entertaining world, Bayonetta 2 is a triumph. Platinum Games has created a classic so thoroughly excellent that it can’t be ignored. Action games don’t get better than this.",98,91
bayonetta 2,wii-u,LevelUp,"The glorious return of Kamiya's beloved brainchild, Bayonetta 2 is a master lesson in arcade action, flow, design and skill, even if it doesn't burn with the same passion of its predecessor.",96,91
bayonetta 2,wii-u,IGN,"This sequel builds on everything that made the original great, and delivers one of the most satisfying action games I've played.",95,91
bayonetta 2,wii-u,Multiplayer.it,"Bayonetta 2's only ""flaw"" is the very similar gameplay compared to the first chapter, but it's still a wonderful and engaging action game with tons of extras, replayability, online co-op and inspired graphics. Definitely one of the best games one can buy on Nintendo Wii U.",95,91
bayonetta 2,wii-u,Gaming Nexus,"Bayonetta 2 is a smashing success, and proves that the WiiU can be the home of some great core titles.",95,91
bayonetta 2,wii-u,EGM,"Filled with amazingly tuned combat, countless larger-than-life moments, copious amounts of legitimately challenging boss battles, interesting locations, lovable characters, and one of gaming’s most unforgettable heroines, Bayonetta 2 retains the crown as the standard for which all other stylish action games should strive to achieve.",95,91
bayonetta 2,wii-u,3DJuegos,"This is the game we were expecting, the one that gamers wanted. It's not so revolutionary as the first title, but it improves the gameplay lessons with a big personality.",95,91
bayonetta 2,wii-u,Riot Pixels,"Bayonetta 2 is nothing less than the best game in its genre, and it’s a solid reason to buy a Wii U.",95,91
bayonetta 2,wii-u,Everyeye.it,"It's action game J-style at its best, smooth to control, wonderful and crazy to watch. If you are even remotely interested in the genre, this is by far the best reason to own a WiiU as of today.",93,91
bayonetta 2,wii-u,Official Nintendo Magazine UK,"Not quite the landmark the original game was, but a thrillingly absurd, deep and beautiful brawler. Soul-bursting sorcery for devotees of the combo. [Christmas 2014, p.86]",93,91
bayonetta 2,wii-u,Cheat Code Central,"It's absolutely a pure Bayonetta game, it's an absolute blast to play, and it absolutely belongs on Nintendo's growing roster of excellently crafted games for the Wii U.",92,91
bayonetta 2,wii-u,Power Unlimited,This is the best character action game out right now. Go get this videogame if you like character action games.,92,91
bayonetta 2,wii-u,Games Master UK,"More of the same peerless action mechanics, barmy spectacle and wonderful depth. [Dec 2014, p.60]",91,91
bayonetta 2,wii-u,Eurogamer Italy,"Bayonetta 2 is simply awesome. Platinum Games has done a great job improving their previous game, adding small details and creating a gorgeous looking new adventure for the sexy-witch. If you love action games, you can't miss this perfect cocktail of fun gameplay, great graphics and over-the-top humor.",90,91
bayonetta 2,wii-u,Eurogamer,"Bayonetta 2's biggest disappointment may be that it's an iterative sequel, but it's not such a problem when it's iterating on genius.",90,91
