CriticID,critic_name
287,Official Playstation 2 Magazine UK
288,Official U.S. Playstation Magazine
289,Official Xbox Magazine
290,Official Xbox Magazine UK
291,Operation Sports
292,Oyungezer
293,PALGN
294,PC Arena
295,PC Format
296,PC Gamer
297,PC Gamer UK
298,PC Games
299,PC Games (Russia)
300,PC Gameworld
301,PC Invasion
302,PC Master (Greece)
303,PC PowerPlay
304,PC Zone UK
305,PCGamesN
306,PCWorld
307,PGNx Media
308,PLAY! Zine
309,PS3bloggen.se
310,PSFocus
311,PSM Magazine
312,PSM2 Magazine UK
313,PSM3 Magazine UK
314,PSW Magazine UK
315,PSX Brasil
316,PSX Extreme
317,PSX Nation
318,PTGamers
319,Pelaaja (Finland)
320,Pelit (Finland)
321,Planet Xbox 360
322,Play (Poland)
323,Play Magazine
324,Play UK
325,Play.tm
326,PlaySense
327,PlayStation Country
328,PlayStation LifeStyle
329,PlayStation Universe
330,Playboy
331,Playstation Official Magazine Australia
332,Playstation Official Magazine UK
333,Playstation: The Official Magazine (US)
334,Pocket Gamer UK
335,Pocket Games
336,Polygon
337,Post Arcade (National Post)
338,Power Unlimited
339,Pregaming
340,Press Start Australia
341,Pro-G
342,Pure Magazine UK
343,Pure Nintendo
344,Pure Xbox
345,Push Square
346,Quandary
347,Quarter to Three
348,RPG Fan
349,RPG Site
350,RPGamer
351,Radio Times
352,Ragequit.gr
353,RealGamer
354,RewiredMind
355,Riot Pixels
356,"Rock, Paper, Shotgun"
357,SECTOR.sk
358,Screen Rant
359,Shacknews
360,Siliconera
361,Slant Magazine
362,Softpedia
363,SomosXbox
364,Spank!
365,SpazioGames
366,Sporting News
367,Sports Gaming Network
368,Stevivor
369,Stuff
370,Switch Player
371,Talk Xbox
372,TeamXbox
373,TechRadar Gaming
374,Telegraph
375,Ten Ton Hammer
376,The A.V. Club
377,The Digital Fix
378,The Escapist
379,The Games Machine
380,The Globe and Mail (Toronto)
381,The Indie Game Website
382,The Jimquisition
383,The New York Times
384,The Sydney Morning Herald
385,The Vita Lounge
386,The Wiire
387,TheSixthAxis
388,TheXboxHub
389,Thunderbolt
390,Times Online
391,Toronto Sun
392,Total PC Gaming
393,Total Video Games
394,TotalGames.net
395,TotalPlayStation
396,Totally360
397,TouchArcade
398,TrueAchievements
399,Trusted Reviews
400,Try Hard Guides
401,Twinfinite
402,UGO
403,USgamer
404,Universo Nintendo
405,VGC
406,VGPub
407,VIA Gamers Arena
408,Vandal
409,Variety
410,Vgames
411,Video Chums
412,Video Game Talk
413,VideoGamer
414,VideoGamesLife
415,Videogameszone.de
416,Village Voice
417,Vooks
418,Voxel
419,WHAM! Gaming
420,Warcry
421,Wccftech
422,We Got This Covered
423,Weekly Famitsu
424,Windows Central
425,Wired
426,WonderwallWeb
427,Worth Playing
428,X-ONE Magazine UK
429,XBLA Fans
430,XGN
431,XGP Gaming
432,Xbox Achievements
433,Xbox Evolved
434,Xbox Exclusive
435,Xbox Nation Magazine
436,Xbox Solution
437,Xbox Tavern
438,Xbox World 360 Magazine UK
439,Xbox World Australia
440,XboxAddict
441,XboxEra
442,Xboxic
443,Xboxygen
444,XenGamers
445,Xequted
446,Yahoo!
447,YouGamers
448,ZTGD
449,Zentendo
450,eToychest
451,games(TM)
452,n-Revolution Magazine UK
453,netjak
