GPID,GameID,difficulty_easy,difficulty_just_right,difficulty_simple,difficulty_tough,difficulty_unforgiving,play_time_lt_1_hour,play_time_ge_80_hours,play_time_approx_1_hour,play_time_approx_12_hours,play_time_approx_2_hours,play_time_approx_20_hours,play_time_approx_4_hours,play_time_approx_40_hours,play_time_approx_60_hours,play_time_approx_8_hours,completion_beat_it,completion_conquered_it,completion_halfway,completion_played_it,completion_tried_it,difficulty_avg,completion_avg,playtime_avg
83,83,23.66,61.33,13.09,1.38,0.54,0.36,88.87,0.11,1.1,0.21,1.7,0.49,3.16,3.27,0.74,30.14,14.89,25.0,28.34,1.63,1.6517,2.6008999999999998,74.88114999999999
84,84,43.32,32.29,22.23,1.8,0.36,0.24,67.06,0.48,3.45,0.59,4.4,0.95,11.06,10.58,1.19,21.57,16.03,9.48,42.1,10.82,1.3661,2.2228,65.8638
85,85,3.82,64.89,0.76,29.77,0.76,0.0,25.42,0.0,3.39,0.0,18.64,0.0,28.81,16.95,6.78,23.88,9.45,18.41,30.35,17.91,2.2595,2.1839999999999997,46.7072
86,86,27.27,51.52,12.12,9.09,0.0,0.0,20.0,5.0,30.0,0.0,10.0,0.0,20.0,10.0,5.0,39.02,19.51,21.95,19.51,0.0,1.697,2.9753,36.025
87,87,4.76,42.86,0.0,33.33,19.05,0.0,15.38,0.0,0.0,0.0,23.08,7.69,46.15,7.69,0.0,20.0,17.78,15.56,22.22,24.44,2.4762,2.289,40.3016
88,88,20.82,68.16,2.86,7.76,0.41,0.0,2.35,0.0,26.47,0.0,43.53,4.12,12.35,2.94,8.24,38.15,33.63,7.45,12.19,8.58,1.8451,3.2279,21.290399999999998
89,89,26.82,65.52,1.92,4.6,1.15,0.0,4.55,0.57,21.02,1.14,42.61,2.27,13.64,4.55,9.66,39.78,34.95,7.03,10.99,7.25,1.7702999999999998,3.3122000000000003,23.75965
90,90,14.58,50.0,2.08,20.83,12.5,6.67,6.67,0.0,30.0,3.33,26.67,6.67,0.0,6.67,13.33,27.18,13.59,18.45,23.3,17.48,2.1664999999999996,2.4076000000000004,19.738500000000002
91,91,17.32,70.08,0.0,11.02,1.57,0.0,7.04,0.0,21.13,0.0,33.8,11.27,5.63,2.82,18.31,30.16,25.79,8.33,21.03,14.68,1.9525,2.7616999999999994,20.7872
92,92,12.77,72.34,2.13,10.64,2.13,0.0,8.0,0.0,12.0,4.0,28.0,8.0,20.0,8.0,12.0,38.61,27.72,6.93,16.83,9.9,1.9788999999999999,3.0591000000000004,27.6
93,93,11.26,75.76,1.39,11.26,0.35,0.0,1.42,0.12,20.28,0.0,57.18,0.95,10.68,0.71,8.66,26.11,57.67,3.28,6.69,6.25,1.99,3.5462000000000002,20.435
94,94,7.14,77.55,1.02,13.27,1.02,3.64,12.73,7.27,16.36,0.0,41.82,7.27,7.27,0.0,3.64,37.32,16.2,7.75,30.99,7.75,2.0613,2.6832,24.073949999999996
95,95,21.33,72.99,3.79,1.42,0.47,1.46,23.36,0.73,2.19,0.0,1.46,0.73,21.9,48.18,0.0,25.56,34.59,9.4,24.06,6.39,1.7676999999999998,2.8985000000000003,56.95825000000001
96,96,30.51,58.35,4.68,6.24,0.22,0.33,29.47,0.0,0.99,0.0,5.96,0.99,29.47,32.78,0.0,38.4,17.16,9.14,16.42,18.89,1.7127000000000001,2.7582999999999998,56.3857
97,97,30.31,60.41,3.51,5.57,0.21,0.29,14.29,0.29,1.17,0.0,8.75,0.0,41.11,33.82,0.29,43.33,23.58,7.03,12.72,13.34,1.7198,3.0776000000000003,50.08595
98,98,6.18,35.29,0.0,50.29,8.24,0.0,32.49,1.02,1.02,0.51,3.05,0.51,19.29,41.62,0.51,25.54,16.72,15.02,21.83,20.9,2.5235,2.4181,59.488899999999994
99,99,14.04,71.63,1.15,11.75,1.43,0.0,11.26,0.0,2.25,0.0,9.01,0.0,51.8,25.68,0.0,33.16,25.29,9.53,16.01,16.01,1.9798999999999998,2.8487999999999993,47.208
100,100,3.68,46.32,0.74,44.85,4.41,8.33,10.71,7.14,16.67,3.57,15.48,8.33,3.57,2.38,23.81,32.94,17.51,3.56,21.66,24.33,2.4484,2.5491,18.948800000000002
101,101,17.5,75.0,3.75,2.5,1.25,0.0,5.26,0.0,5.26,0.0,42.11,2.63,34.21,5.26,5.26,31.61,10.34,12.64,24.71,20.69,1.825,2.3848000000000003,30.6272
102,102,2.33,41.86,2.33,51.16,2.33,8.11,5.41,2.7,0.0,18.92,0.0,59.46,0.0,0.0,5.41,16.07,53.57,7.14,19.64,3.57,2.4885,3.1604999999999994,7.6122000000000005
103,103,1.61,16.13,0.0,63.71,18.55,0.0,46.15,2.56,0.0,2.56,10.26,2.56,23.08,10.26,2.56,11.58,6.18,7.72,44.79,29.73,2.8064999999999998,1.61,54.7312
104,104,11.11,66.67,2.78,19.44,0.0,0.0,0.0,0.0,68.0,0.0,16.0,0.0,0.0,0.0,16.0,42.22,21.11,5.56,16.67,14.44,2.0555000000000003,2.9555000000000002,12.64
105,105,4.81,47.12,0.0,43.27,4.81,0.0,7.81,0.0,15.63,0.0,29.69,1.56,32.81,4.69,7.81,26.36,35.0,9.09,15.0,14.55,2.4329,2.9317,30.6868
106,106,2.45,52.15,0.0,39.26,6.13,0.99,6.93,0.0,11.88,0.99,26.73,1.98,37.62,7.92,4.95,32.37,30.06,6.65,17.92,13.01,2.4292000000000002,2.9395,32.6205
107,107,8.33,35.83,0.0,43.33,12.5,1.39,11.11,0.0,23.61,1.39,29.17,0.0,20.83,5.56,6.94,31.67,14.93,4.52,18.33,30.54,2.4748,2.4431,29.820099999999996
108,108,9.68,33.55,3.23,47.74,5.81,0.0,13.64,1.14,22.73,0.0,14.77,4.55,31.82,4.55,6.82,36.49,12.16,17.12,21.62,12.61,2.4066,2.6307,32.7849
109,109,4.24,29.7,1.21,57.58,7.27,0.0,15.69,0.0,10.78,0.0,21.57,2.94,28.43,14.71,5.88,30.39,24.04,6.12,18.82,20.63,2.594,2.6941,38.9456
110,110,0.99,13.86,0.0,59.41,25.74,0.0,20.63,0.0,12.7,0.0,19.05,0.0,25.4,17.46,4.76,35.53,24.56,9.21,14.91,15.79,2.8415999999999997,2.8948,42.8548
111,111,2.22,35.56,1.11,51.11,10.0,0.0,14.0,2.0,14.0,0.0,34.0,2.0,24.0,6.0,4.0,35.86,24.24,9.09,13.64,17.17,2.5778,2.8939,33.29
112,112,1.79,19.64,0.89,59.82,17.86,0.0,16.33,0.0,12.24,0.0,24.49,0.0,30.61,10.2,6.12,33.07,10.24,18.9,33.07,4.72,2.75,2.4882999999999997,38.2844
113,113,5.88,54.9,1.96,29.41,7.84,0.0,7.69,0.0,7.69,7.69,0.0,7.69,38.46,30.77,0.0,9.3,9.3,26.74,39.53,15.12,2.2939000000000003,1.8253,41.382200000000005
114,114,10.53,18.42,0.0,57.89,13.16,0.0,0.0,0.0,47.62,0.0,23.81,9.52,4.76,4.76,9.52,42.22,11.11,8.89,26.67,11.11,2.6052000000000004,2.6888,16.3788
115,115,8.11,51.35,0.0,37.84,2.7,0.0,8.0,0.0,8.0,0.0,16.0,8.0,40.0,8.0,12.0,35.06,12.99,10.39,23.38,18.18,2.3243,2.5454000000000003,32.64
116,116,33.33,54.55,0.0,12.12,0.0,0.0,0.0,0.0,30.0,0.0,25.0,5.0,25.0,0.0,15.0,37.84,17.57,6.76,25.68,12.16,1.7879000000000003,2.73,20.0
117,117,15.85,66.07,2.68,14.51,0.89,0.66,3.96,0.0,32.01,0.0,18.48,9.24,5.61,0.99,29.04,51.44,19.48,3.5,11.25,14.33,1.9686999999999997,3.1626,16.242600000000003
118,118,14.13,67.14,2.47,15.19,1.06,0.52,1.55,0.52,32.99,0.52,19.59,7.73,5.15,2.58,28.87,49.3,15.65,6.42,12.68,15.96,1.9963,3.0128,15.3618
119,119,17.05,72.09,1.55,7.75,1.55,2.2,1.1,0.0,36.26,1.1,24.18,7.69,6.59,1.1,19.78,41.06,22.71,11.11,14.01,11.11,1.9068000000000003,3.024200000000001,15.2972
120,120,15.09,73.58,5.66,3.77,1.89,0.0,6.25,0.0,18.75,0.0,25.0,3.13,37.5,3.13,6.25,58.06,6.45,9.68,12.9,12.9,1.8488999999999998,3.032,29.753200000000003
121,121,26.83,51.22,15.85,6.1,0.0,0.0,10.81,0.0,13.51,0.0,24.32,21.62,16.22,5.41,8.11,22.46,13.04,11.59,33.33,19.57,1.6341999999999997,2.1807999999999996,26.380800000000004
122,122,16.87,66.27,1.2,15.66,0.0,0.0,14.29,0.0,7.14,0.0,14.29,17.86,32.14,3.57,10.71,12.99,6.78,16.38,44.07,19.77,1.9758999999999998,1.7568000000000001,31.715999999999994
123,123,3.0,58.0,1.0,36.0,2.0,0.0,3.08,0.0,7.69,0.0,47.69,0.0,38.46,3.08,0.0,34.83,14.93,7.46,18.91,23.88,2.34,2.5675,30.156800000000004
124,124,18.75,58.33,4.17,13.54,5.21,4.0,4.0,0.0,20.0,0.0,28.0,12.0,20.0,2.0,10.0,26.67,17.78,20.74,23.7,11.11,1.9583,2.5409,21.72
125,125,18.6,53.49,4.65,18.6,4.65,0.0,15.0,0.0,0.0,10.0,25.0,0.0,35.0,10.0,5.0,23.81,11.11,22.22,23.81,19.05,1.9998000000000002,2.2698,37.6
126,126,35.09,47.37,3.51,10.53,3.51,0.0,5.26,2.63,21.05,0.0,36.84,7.89,7.89,5.26,13.16,29.91,21.37,4.27,28.21,16.24,1.7545999999999997,2.5811,21.79555
127,127,15.22,67.34,2.17,14.79,0.47,0.07,4.33,0.07,19.92,0.2,42.64,1.4,21.32,4.2,5.86,44.74,23.17,5.92,12.96,13.21,1.9785,3.0965,25.960249999999995
128,128,32.5,53.75,6.25,6.25,1.25,1.67,1.67,0.0,11.67,0.0,1.67,28.33,1.67,1.67,51.67,46.3,23.15,0.93,15.74,13.89,1.6875,3.0928999999999998,10.0239
129,129,15.11,73.43,1.89,9.27,0.3,0.0,4.88,0.17,11.67,0.11,36.14,0.67,35.8,7.3,3.25,39.52,36.17,5.36,10.18,8.77,1.9257000000000002,3.3243000000000005,31.522250000000003
130,130,23.76,57.43,1.98,14.85,1.98,0.0,2.74,0.0,23.29,2.74,10.96,19.18,2.74,0.0,38.36,42.55,19.68,6.38,14.89,16.49,1.9108999999999998,2.9305999999999996,12.165600000000001
131,131,16.95,67.19,2.44,12.82,0.6,0.24,6.75,0.08,11.46,0.08,29.84,0.65,38.13,9.19,3.58,47.98,21.66,13.54,11.58,5.23,1.9403,3.2244999999999995,33.82599999999999
